director,href,director_birthYr,director_cn
Éric Rohmer,https://www.imdb.com//name/nm0006445/,1920-4-4,"Tulle, Corrèze, France"
Laurie Anderson,https://www.imdb.com//name/nm0002173/,1947-6-5,"Glen Ellyn, Illinois, USA"
Patricio Guzmán,https://www.imdb.com//name/nm0350099/,1941-8-11,"Santiago, Chile"
Terry Zwigoff,https://www.imdb.com//name/nm0959062/,1949-5-18,"Appleton, Wisconsin, USA"
Mark Neveldine,https://www.imdb.com//name/nm0004410/,1973-5-11,"Watertown, New York, USA"
Jiang Wen,https://www.imdb.com//name/nm0422638/,1963-1-5,"Tangshan, China"
Andrew Lau,https://www.imdb.com//name/nm0490487/,1960-4-4,Hong Kong
Valeska Grisebach,https://www.imdb.com//name/nm1007136/,1968-1-4,"Bremen, West Germany [now Germany]"
Clint Eastwood,https://www.imdb.com//name/nm0000142/,1930-5-31,"San Francisco, California, USA"
Jean-Marie Téno,https://www.imdb.com//name/nm0879403/,1954-5-14,"Famleng, Cameroon"
 Luc Dardenne,https://www.imdb.com//name/nm0201095/,1954-3-10,"Awirs, Wallonia, Belgium"
Asif Kapadia,https://www.imdb.com//name/nm0438090/,1972-0-0,"Hackney, London, England, UK"
Trey Parker,https://www.imdb.com//name/nm0005295/,1969-10-19,"Conifer, Colorado, USA"
Apichatpong Weerasethakul,https://www.imdb.com//name/nm0917405/,1970-7-16,"Bangkok, Thailand"
Ava DuVernay,https://www.imdb.com//name/nm1148550/,1972-8-24,"Long Beach, California, USA"
Marcelo Gomes,https://www.imdb.com//name/nm1103123/,1963-10-28,"Recife, Pernambuco, Brazil"
Wang Bing,https://www.imdb.com//name/nm1504063/,1967-0-0,"Xi'an, Shaanxi, China"
Michelangelo Antonioni,https://www.imdb.com//name/nm0000774/,1912-9-29,"Ferrara, Emilia-Romagna, Italy"
Lee Chang-dong,https://www.imdb.com//name/nm0496969/,1954-4-1,"Daegu, South Korea"
Alain Guiraudie,https://www.imdb.com//name/nm0347492/,1964-7-15,"Villefranche-de-Rouergue, Aveyron, France"
Rachid Bouchareb,https://www.imdb.com//name/nm0098953/,1959-9-1,"Paris, France"
Philippe Garrel,https://www.imdb.com//name/nm0308042/,1948-4-6,"Paris, France"
Ramin Bahrani,https://www.imdb.com//name/nm1023919/,1975-3-20,"North Carolina, USA"
Chantal Akerman,https://www.imdb.com//name/nm0001901/,1950-6-6,"Brussels, Belgium"
Lars von Trier,https://www.imdb.com//name/nm0001885/,1956-4-30,"Copenhagen, Denmark"
Ridley Scott,https://www.imdb.com//name/nm0000631/,1937-11-30,"South Shields, County Durham, England, UK"
Cristi Puiu,https://www.imdb.com//name/nm1090998/,1967-4-3,"Bucharest, Romania"
Paul Feig,https://www.imdb.com//name/nm0082450/,1962-9-17,"Mount Clemens, Michigan, USA"
Tomas Alfredson,https://www.imdb.com//name/nm0019247/,1965-4-1,"Lidingö, Stockholms län, Sweden"
